file,BCC_A2,FCC_A1,CEMENTITE,Tinf,Tsup
../results/00230.DAT,True,True,False,673.0,1473.0
../results/00231.DAT,True,True,False,673.0,1473.0
../results/00232.DAT,True,True,False,673.0,1473.0
../results/00233.DAT,True,True,False,673.0,1473.0
../results/00234.DAT,True,True,False,673.0,1473.0
../results/00235.DAT,True,True,False,673.0,1473.0
../results/00236.DAT,True,True,False,673.0,1473.0
../results/00237.DAT,True,True,False,673.0,1473.0
../results/00238.DAT,True,True,False,673.0,1473.0
../results/00239.DAT,True,True,False,673.0,1473.0
../results/00240.DAT,True,True,False,673.0,1473.0
../results/00241.DAT,True,True,False,673.0,1473.0
../results/00242.DAT,True,True,False,673.0,1473.0
../results/00243.DAT,True,True,False,673.0,1473.0
../results/00244.DAT,True,True,False,673.0,1473.0
../results/00245.DAT,True,True,False,673.0,1473.0
../results/00246.DAT,True,True,False,673.0,1473.0
../results/00247.DAT,True,True,False,673.0,1473.0
../results/00248.DAT,True,True,False,673.0,1473.0
../results/00249.DAT,True,True,False,673.0,1473.0
../results/00250.DAT,True,True,False,673.0,1473.0
../results/00251.DAT,True,True,False,673.0,1473.0
../results/00252.DAT,True,True,False,673.0,1473.0
../results/00253.DAT,True,True,False,673.0,1473.0
../results/00254.DAT,True,True,False,673.0,1473.0
../results/00255.DAT,True,True,False,673.0,1473.0
../results/00256.DAT,True,True,False,673.0,1473.0
../results/00257.DAT,True,True,False,673.0,1473.0
../results/00258.DAT,True,True,False,673.0,1473.0
../results/00259.DAT,True,True,False,673.0,1473.0
../results/00260.DAT,True,True,False,673.0,1473.0
../results/00261.DAT,True,True,False,673.0,1473.0
../results/00262.DAT,True,True,False,673.0,1473.0
../results/00263.DAT,True,True,False,673.0,1473.0
../results/00264.DAT,True,True,False,673.0,1473.0
../results/00265.DAT,True,True,False,673.0,1473.0
../results/00266.DAT,True,True,False,673.0,1473.0
../results/00267.DAT,True,True,False,673.0,1473.0
../results/00268.DAT,True,True,False,673.0,1473.0
../results/00269.DAT,True,True,False,673.0,1473.0
../results/00270.DAT,True,True,False,673.0,1473.0
../results/00271.DAT,True,True,False,673.0,1473.0
../results/00272.DAT,True,True,False,673.0,1473.0
../results/00273.DAT,True,True,False,673.0,1473.0
../results/00274.DAT,True,True,False,673.0,1473.0
../results/00275.DAT,True,True,False,673.0,1473.0
../results/00276.DAT,True,True,False,673.0,1473.0
../results/00277.DAT,True,True,False,673.0,1473.0
../results/00278.DAT,True,True,False,673.0,1473.0
../results/00279.DAT,True,True,False,673.0,1473.0
../results/00280.DAT,True,True,False,673.0,1473.0
../results/00281.DAT,True,True,False,673.0,1473.0
../results/00282.DAT,True,True,False,673.0,1473.0
../results/00283.DAT,True,True,False,673.0,1473.0
../results/00284.DAT,True,True,False,673.0,1473.0
../results/00285.DAT,True,True,False,673.0,1473.0
../results/00286.DAT,True,True,False,673.0,1473.0
../results/00287.DAT,True,True,False,673.0,1473.0
../results/00288.DAT,True,True,False,673.0,1473.0
../results/00289.DAT,True,True,False,673.0,1473.0
../results/00290.DAT,True,True,False,673.0,1473.0
../results/00291.DAT,True,True,False,673.0,1473.0
../results/00292.DAT,True,True,False,673.0,1473.0
../results/00293.DAT,True,True,False,673.0,1473.0
../results/00294.DAT,True,True,False,673.0,1473.0
../results/00295.DAT,True,True,False,673.0,1473.0
../results/00296.DAT,True,True,False,673.0,1473.0
../results/00297.DAT,True,True,False,673.0,1473.0
../results/00298.DAT,True,True,False,673.0,1473.0
../results/00299.DAT,True,True,False,673.0,1473.0
../results/00300.DAT,True,True,False,673.0,1473.0
../results/00301.DAT,True,True,False,673.0,1473.0
../results/00302.DAT,True,True,False,673.0,1473.0
../results/00303.DAT,True,True,False,673.0,1473.0
../results/00304.DAT,True,True,False,673.0,1473.0
../results/00305.DAT,True,True,False,673.0,1473.0
../results/00306.DAT,True,True,False,673.0,1473.0
../results/00307.DAT,True,True,False,673.0,1473.0
../results/00308.DAT,True,True,False,673.0,1473.0
../results/00309.DAT,True,True,False,673.0,1473.0
../results/00310.DAT,True,True,False,673.0,1473.0
../results/00311.DAT,True,True,False,673.0,1473.0
../results/00312.DAT,True,True,False,673.0,1473.0
../results/00313.DAT,True,True,False,673.0,1473.0
../results/00314.DAT,True,True,False,673.0,1473.0
../results/00315.DAT,True,True,False,673.0,1473.0
../results/00316.DAT,True,True,False,673.0,1473.0
../results/00317.DAT,True,True,False,673.0,1473.0
../results/00318.DAT,True,True,False,673.0,1473.0
../results/00319.DAT,True,True,False,673.0,1473.0
../results/00320.DAT,True,True,False,673.0,1473.0
../results/00321.DAT,True,True,False,673.0,1473.0
../results/00322.DAT,True,True,False,673.0,1473.0
../results/00323.DAT,True,True,False,673.0,1473.0
../results/00324.DAT,True,True,False,673.0,1473.0
../results/00325.DAT,True,True,False,673.0,1473.0
../results/00326.DAT,True,True,False,673.0,1473.0
../results/00327.DAT,True,True,False,673.0,1473.0
../results/00328.DAT,True,True,False,673.0,1473.0
../results/00329.DAT,True,True,False,673.0,1473.0
../results/00330.DAT,True,True,False,673.0,1473.0
../results/00331.DAT,True,True,False,673.0,1473.0
../results/00332.DAT,True,True,False,673.0,1473.0
../results/00333.DAT,True,True,False,673.0,1473.0
../results/00334.DAT,True,True,False,673.0,1473.0
../results/00335.DAT,True,True,False,673.0,1473.0
../results/00336.DAT,True,True,False,673.0,1473.0
../results/00337.DAT,True,True,False,673.0,1473.0
../results/00338.DAT,True,True,False,673.0,1473.0
../results/00339.DAT,True,True,False,673.0,1473.0
../results/00340.DAT,True,True,False,673.0,1473.0
../results/00341.DAT,True,True,False,673.0,1473.0
../results/00342.DAT,True,True,False,673.0,1473.0
../results/00343.DAT,True,True,False,673.0,1473.0
../results/00344.DAT,True,True,False,673.0,1473.0
../results/00345.DAT,True,True,False,673.0,1473.0
../results/00346.DAT,True,True,False,673.0,1473.0
../results/00347.DAT,True,True,False,673.0,1473.0
../results/00348.DAT,True,True,False,673.0,1473.0
../results/00349.DAT,True,True,False,673.0,1473.0
../results/00350.DAT,True,True,False,673.0,1473.0
../results/00351.DAT,True,True,False,673.0,1473.0
../results/00352.DAT,True,True,False,673.0,1473.0
../results/00353.DAT,True,True,False,673.0,1473.0
../results/00354.DAT,True,True,False,673.0,1473.0
../results/00355.DAT,True,True,False,673.0,1473.0
../results/00356.DAT,True,True,False,673.0,1473.0
../results/00357.DAT,True,True,False,673.0,1473.0
../results/00358.DAT,True,True,False,673.0,1473.0
../results/00359.DAT,True,True,False,673.0,1473.0
../results/00360.DAT,True,True,False,673.0,1473.0
../results/00361.DAT,True,True,False,673.0,1473.0
../results/00362.DAT,True,True,False,673.0,1473.0
../results/00363.DAT,True,True,False,673.0,1473.0
../results/00364.DAT,True,True,False,673.0,1473.0
../results/00365.DAT,True,True,False,673.0,1473.0
../results/00366.DAT,True,True,False,673.0,1473.0
../results/00367.DAT,True,True,False,673.0,1473.0
../results/00368.DAT,True,True,False,673.0,1473.0
../results/00369.DAT,True,True,False,673.0,1473.0
../results/00370.DAT,True,True,False,673.0,1473.0
../results/00371.DAT,True,True,False,673.0,1473.0
../results/00372.DAT,True,True,False,673.0,1473.0
../results/00373.DAT,True,True,False,673.0,1473.0
../results/00374.DAT,True,True,False,673.0,1473.0
../results/00375.DAT,True,True,False,673.0,1473.0
../results/00376.DAT,True,True,False,673.0,1473.0
../results/00377.DAT,True,True,False,673.0,1473.0
../results/00378.DAT,True,True,False,673.0,1473.0
../results/00379.DAT,True,True,False,673.0,1473.0
../results/00380.DAT,True,True,False,673.0,1473.0
../results/00381.DAT,True,True,False,673.0,1473.0
../results/00382.DAT,True,True,False,673.0,1473.0
../results/00383.DAT,True,True,False,673.0,1473.0
../results/00384.DAT,True,True,False,673.0,1473.0
../results/00385.DAT,True,True,False,673.0,1473.0
../results/00386.DAT,True,True,False,673.0,1473.0
../results/00387.DAT,True,True,False,673.0,1473.0
../results/00388.DAT,True,True,False,673.0,1473.0
../results/00389.DAT,True,True,False,673.0,1473.0
../results/00390.DAT,True,True,False,673.0,1473.0
../results/00391.DAT,True,True,False,673.0,1473.0
../results/00392.DAT,True,True,False,673.0,1473.0
../results/00393.DAT,True,True,False,673.0,1473.0
../results/00394.DAT,True,True,False,673.0,1473.0
../results/00395.DAT,True,True,False,673.0,1473.0
../results/00396.DAT,True,True,False,673.0,1473.0
../results/00397.DAT,True,True,False,673.0,1473.0
../results/00398.DAT,True,True,False,673.0,1473.0
../results/00399.DAT,True,True,False,673.0,1473.0
../results/00400.DAT,True,True,False,673.0,1473.0
../results/00401.DAT,True,True,False,673.0,1473.0
../results/00402.DAT,True,True,False,673.0,1473.0
../results/00403.DAT,True,True,False,673.0,1473.0
../results/00404.DAT,True,True,False,673.0,1473.0
../results/00405.DAT,True,True,False,673.0,1473.0
../results/00406.DAT,True,True,False,673.0,1473.0
../results/00407.DAT,True,True,False,673.0,1473.0
../results/00408.DAT,True,True,False,673.0,1473.0
../results/00409.DAT,True,True,False,673.0,1473.0
../results/00410.DAT,True,True,False,673.0,1473.0
../results/00411.DAT,True,True,False,673.0,1473.0
../results/00412.DAT,True,True,False,673.0,1473.0
../results/00413.DAT,True,True,False,673.0,1473.0
../results/00414.DAT,True,True,False,673.0,1473.0
../results/00415.DAT,True,True,False,673.0,1473.0
../results/00416.DAT,True,True,False,673.0,1473.0
../results/00417.DAT,True,True,False,673.0,1473.0
../results/00418.DAT,True,True,False,673.0,1473.0
../results/00419.DAT,True,True,False,673.0,1473.0
../results/00420.DAT,True,True,False,673.0,1473.0
../results/00421.DAT,True,True,False,673.0,1473.0
../results/00422.DAT,True,True,False,673.0,1473.0
../results/00423.DAT,True,True,False,673.0,1473.0
../results/00424.DAT,True,True,False,673.0,1473.0
