# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00064.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.015000499999999998,0.03
../results/00065.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.02250025,1e-06
../results/00066.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.02250025,0.00750075
../results/00067.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.02250025,0.015000499999999998
../results/00068.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.02250025,0.02250025
../results/00069.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.02250025,0.03
../results/00070.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.03,1e-06
../results/00071.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.03,0.00750075
../results/00072.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.03,0.015000499999999998
../results/00073.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.03,0.02250025
../results/00074.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.03,0.03
../results/00075.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,1e-06,1e-06
../results/00076.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,1e-06,0.00750075
../results/00077.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,1e-06,0.015000499999999998
../results/00078.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,1e-06,0.02250025
../results/00079.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,1e-06,0.03
../results/00080.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.00750075,1e-06
../results/00081.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.00750075,0.00750075
../results/00082.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.00750075,0.015000499999999998
../results/00083.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.00750075,0.02250025
../results/00084.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.00750075,0.03
../results/00085.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.015000499999999998,1e-06
../results/00086.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.015000499999999998,0.00750075
../results/00087.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.015000499999999998,0.015000499999999998
../results/00088.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.015000499999999998,0.02250025
../results/00089.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.015000499999999998,0.03
../results/00090.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.02250025,1e-06
../results/00091.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.02250025,0.00750075
../results/00092.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.02250025,0.015000499999999998
../results/00093.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.02250025,0.02250025
../results/00094.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.02250025,0.03
../results/00095.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.03,1e-06
../results/00096.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.03,0.00750075
../results/00097.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.03,0.015000499999999998
../results/00098.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.03,0.02250025
../results/00099.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.02250025,0.03,0.03
../results/00100.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,1e-06,1e-06
../results/00101.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,1e-06,0.00750075
../results/00102.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,1e-06,0.015000499999999998
../results/00103.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,1e-06,0.02250025
../results/00104.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,1e-06,0.03
../results/00105.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.00750075,1e-06
../results/00106.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.00750075,0.00750075
../results/00107.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.00750075,0.015000499999999998
../results/00108.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.00750075,0.02250025
../results/00109.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.00750075,0.03
../results/00110.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.015000499999999998,1e-06
../results/00111.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.015000499999999998,0.00750075
../results/00112.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.015000499999999998,0.015000499999999998
../results/00113.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.015000499999999998,0.02250025
../results/00114.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.015000499999999998,0.03
../results/00115.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.02250025,1e-06
../results/00116.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.02250025,0.00750075
../results/00117.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.02250025,0.015000499999999998
../results/00118.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.02250025,0.02250025
../results/00119.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.02250025,0.03
../results/00120.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.03,1e-06
../results/00121.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.03,0.00750075
../results/00122.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.03,0.015000499999999998
../results/00123.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.03,0.02250025
../results/00124.DAT,../macros_thermocalc/macro_3.tcm,0.0,1e-06,0.03,0.03,0.03
../results/00125.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,1e-06,1e-06
../results/00126.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,1e-06,0.00750075
../results/00127.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,1e-06,0.015000499999999998
../results/00128.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,1e-06,0.02250025
../results/00129.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,1e-06,0.03
../results/00130.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.00750075,1e-06
../results/00131.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.00750075,0.00750075
../results/00132.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.00750075,0.015000499999999998
../results/00133.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.00750075,0.02250025
../results/00134.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.00750075,0.03
../results/00135.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.015000499999999998,1e-06
../results/00136.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.015000499999999998,0.00750075
../results/00137.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.015000499999999998,0.015000499999999998
../results/00138.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.015000499999999998,0.02250025
../results/00139.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.015000499999999998,0.03
../results/00140.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.02250025,1e-06
../results/00141.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.02250025,0.00750075
../results/00142.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.02250025,0.015000499999999998
../results/00143.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.02250025,0.02250025
